Code,Name,Geography,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,Population
E07000026,Allerdale,Non-metropolitan District,1219,1267,1352,1246,1328,1278,1437,1440,1517,1035,996,1061,982,870,777,750,724,704,631,554,486,430,378,368,324,1239,24393
E07000027,Barrow-in-Furness,Non-metropolitan District,746,796,775,766,781,747,811,887,898,697,670,658,641,531,541,475,450,440,355,339,269,223,222,165,143,583,14609
E07000028,Carlisle,Non-metropolitan District,1283,1311,1316,1287,1261,1327,1339,1298,1452,1103,979,1005,927,874,767,756,682,722,671,548,495,444,427,379,280,1120,24053
E07000029,Copeland,Non-metropolitan District,890,878,840,809,921,832,881,972,935,659,672,689,564,591,501,502,439,463,429,345,323,220,234,250,164,620,15623
E07000030,Eden,Non-metropolitan District,819,782,782,760,879,794,749,858,854,692,641,653,566,477,433,449,459,415,343,345,277,223,239,218,188,754,14649
E07000031,South Lakeland,Non-metropolitan District,1525,1530,1527,1442,1392,1623,1677,1698,1922,1453,1307,1375,1231,1036,928,943,929,880,793,713,608,582,515,432,465,1569,30095
E07000117,Burnley,Non-metropolitan District,953,921,952,860,882,921,1005,1039,1108,777,740,727,620,600,537,478,440,451,399,344,300,258,254,191,204,837,16798
E07000118,Chorley,Non-metropolitan District,1299,1385,1279,1263,1301,1344,1347,1532,1612,1131,1128,1060,1006,827,774,746,667,647,559,456,433,383,326,304,222,832,23863
E07000119,Fylde,Non-metropolitan District,1080,1127,1138,1043,1090,1172,1176,1314,1416,1082,1098,973,925,855,691,735,715,607,616,562,523,474,390,341,316,1163,22622
E07000120,Hyndburn,Non-metropolitan District,783,796,769,771,827,761,933,926,928,726,737,680,603,549,479,478,409,421,369,349,279,275,201,213,176,566,15004
E07000121,Lancaster,Non-metropolitan District,1598,1524,1530,1513,1531,1540,1627,1598,1816,1401,1304,1256,1146,1109,888,908,881,848,802,713,599,536,503,417,381,1466,29435
E07000122,Pendle,Non-metropolitan District,1012,940,967,965,1012,998,991,1016,1130,775,771,768,665,550,562,480,478,401,434,370,348,303,263,231,199,763,17392
E07000123,Preston,Non-metropolitan District,1232,1213,1261,1144,1192,1134,1153,1151,1206,889,847,879,800,716,678,674,645,646,543,520,485,420,353,313,299,877,21270
E07000124,Ribble Valley,Non-metropolitan District,782,773,768,743,688,767,820,863,893,758,698,621,567,496,499,448,422,382,366,376,302,274,232,229,175,770,14712
E07000125,Rossendale,Non-metropolitan District,818,846,838,729,720,791,784,887,895,610,574,566,511,436,384,346,345,338,282,289,246,236,167,182,155,574,13549
E07000126,South Ribble,Non-metropolitan District,1227,1289,1245,1283,1214,1367,1337,1391,1565,1105,1079,1096,933,829,757,792,743,665,607,530,524,385,341,300,296,1065,23965
E07000127,West Lancashire,Non-metropolitan District,1344,1270,1322,1293,1312,1295,1362,1510,1562,1224,1135,1142,1093,984,821,776,828,712,706,606,519,480,370,352,303,1175,25496
E07000128,Wyre,Non-metropolitan District,1570,1596,1615,1535,1559,1588,1741,1778,1981,1463,1353,1420,1295,1202,1071,1088,993,894,843,783,658,621,476,450,439,1519,31531
